Year,Female Court Admissions,New Offense Violators,Female Technical MSR Violators,Total Female Admissions,End of Year Population
2010,2060,146,620,2680,2922
2011,1915,86,385,2300,2865
2012,2076,97,276,2352,2885
2013,2349,137,263,2612,2915
2014,2118,129,248,2366,2888
2015,1756,102,301,2057,2638
2016,1801,108,285,2086,2615
2017,1650,62,249,1899,2279
2018,1428,88,297,1725,2335
2019,1450,78,344,1794,2264
2020,723,10,163,886,1418
2021,857,12,160,1017,1310
2022,1129,9,165,1294,1471
2023,1074,18,177,1251,1533
2024,896,4,150,1046,1461
